"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3581","Login fail - username: alice@example.com","tests","Mon Sep 08 14:00:31 CST 2025","passed","Mon Sep 08 14:00:35 CST 2025","TestLogin","test_login","",""
"","2968","Login success - username: bob@example.com","tests","Mon Sep 08 14:00:35 CST 2025","passed","Mon Sep 08 14:00:38 CST 2025","TestLogin","test_login","",""
"","27409","Order complete","tests","Mon Sep 08 14:00:42 CST 2025","passed","Mon Sep 08 14:01:09 CST 2025","TestOrderEvent","test_order_event","",""
"","5358","Login fail - username: bob@example.com","tests","Mon Sep 08 14:00:26 CST 2025","passed","Mon Sep 08 14:00:31 CST 2025","TestLogin","test_login","",""
